City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,port blair,11.6667,92.75,33.02,62,40,3.6,IN,1715416558
162,rotonda west,26.8837,-82.2901,28.01,94,100,3.6,US,1715417088
163,bairnsdale,-37.8333,147.6167,14.47,88,100,1.34,AU,1715417080
164,opuwo,-18.0607,13.84,28.96,16,0,5.18,NA,1715416655
165,yoko,5.5333,12.3167,28.69,57,59,1.49,CM,1715417089
166,haiku-pauwela,20.9219,-156.3051,21.69,95,20,1.54,US,1715417082
167,aleksandrovsk-sakhalinskiy,50.8975,142.1561,6.98,57,80,2.45,RU,1715417089
168,peterhead,57.5058,-1.7981,19.22,82,55,4.33,GB,1715417090
169,joshimath,30.5667,79.5667,20.56,78,97,2.57,IN,1715417090
170,port macquarie,-31.4333,152.9167,16.05,88,100,2.65,AU,1715417076
171,asau,46.4333,26.4,17.51,66,94,2.89,RO,1715416649
172,maracaju,-21.6144,-55.1683,20.8,55,8,1.59,BR,1715417090
173,nanao,37.05,136.9667,26.11,67,45,0.73,JP,1715417090
174,tyukhtet,56.5389,89.3011,19.27,45,100,4.28,RU,1715417091
175,yemanzhelinsk,54.7547,61.3208,12.09,34,93,8.98,RU,1715417091
176,nova sintra,14.8667,-24.7167,20.99,77,64,9.26,CV,1715416565
177,mitu,1.1983,-70.1733,21.74,99,98,0.4,CO,1715416804
178,chibougamau,49.9168,-74.3659,5.79,81,100,1.54,CA,1715417047
179,vernon,50.2581,-119.2691,14.96,52,49,2.57,CA,1715417092
180,bredasdorp,-34.5322,20.0403,17.48,48,4,4.32,ZA,1715416324
181,dolzhanskaya,46.6311,37.8039,15.82,46,65,4.19,RU,1715417093
182,akureyri,65.6835,-18.0878,5.96,93,40,0.0,IS,1715416757
183,nar'yan-mar,67.6713,53.087,-3.27,88,99,3.13,RU,1715416593
184,turpan,42.9333,89.1667,39.08,4,0,1.97,CN,1715416585
185,laguna,38.421,-121.4238,20.73,62,0,1.54,US,1715416648
186,san ignacio de velasco,-16.3667,-60.95,19.21,74,8,1.46,BO,1715417094
187,nadym,65.5333,72.5167,-1.69,85,100,4.31,RU,1715417085
188,mejit,10.2753,170.8646,27.63,82,100,7.71,MH,1715416596
189,les cayes,18.2,-73.75,25.05,82,25,1.77,HT,1715417095
190,katsuura,35.1333,140.3,19.51,69,10,7.93,JP,1715417055
191,fort st. john,56.2499,-120.8529,8.94,37,100,5.14,CA,1715417068
192,rovinj,45.08,13.64,22.27,54,6,1.72,HR,1715417095
193,saudarkrokur,65.7461,-19.6394,8.27,88,100,2.76,IS,1715416613
194,lompoc,34.6391,-120.4579,12.66,96,100,2.06,US,1715416565
195,igarka,67.4667,86.5833,-0.55,99,100,5.81,RU,1715417096
196,benjamin constant,-4.3831,-70.0311,24.07,99,47,0.88,BR,1715417096
197,mahajanga,-15.7167,46.3167,33.01,40,0,5.66,MG,1715417097
198,bayevo,53.2833,80.7667,18.11,33,100,5.62,RU,1715417097
199,iquitos,-3.7481,-73.2472,24.02,100,75,0.51,PE,1715417097
200,codrington,-38.2667,141.9667,14.15,77,77,3.24,AU,1715416634
201,acarau,-2.8856,-40.12,24.72,89,97,3.84,BR,1715416610
202,keshorai patan,25.3,75.9333,41.64,15,6,1.28,IN,1715417098
203,veinticinco de mayo,-35.4323,-60.1727,7.21,97,100,0.45,AR,1715417065
204,kavieng,-2.5744,150.7967,28.85,75,99,3.25,PG,1715416645
205,ishigaki,24.3448,124.1572,28.07,69,75,3.6,JP,1715416815
206,berasia,23.6333,77.4333,36.25,14,5,4.26,IN,1715417099
207,black river,18.0264,-77.8487,25.39,85,6,1.27,JM,1715417099
208,san fernando de apure,7.8878,-67.4724,23.3,98,45,0.22,VE,1715417099
209,dongola,19.1667,30.4833,41.42,5,1,2.26,SD,1715417100
210,hamilton,39.1834,-84.5333,13.35,84,100,2.57,US,1715416566
211,agat village,13.3886,144.6585,29.52,80,20,6.17,GU,1715416578
212,mwinilunga,-11.7358,24.4293,27.88,31,1,0.97,ZM,1715417100
213,nemuro,43.3236,145.575,6.06,90,100,4.52,JP,1715416504
214,lata,40.1629,-8.3327,17.26,61,27,1.11,PT,1715417044
215,mananjary,-21.2167,48.3333,26.55,62,33,1.98,MG,1715417101
216,holualoa,19.6228,-155.9522,22.91,92,40,4.63,US,1715417101
217,blantyre,-15.785,35.0085,25.34,44,20,3.6,MW,1715417102
218,saipan,15.1355,145.701,29.39,79,40,6.17,MP,1715416356
219,mizdah,31.4451,12.9801,20.27,40,0,2.1,LY,1715417102
220,funafuti,-8.5243,179.1942,28.09,79,100,2.74,TV,1715417102
221,taihecun,45.8,130.85,14.84,52,51,5.06,CN,1715417103
222,college,64.8569,-147.8028,6.2,48,75,2.06,US,1715416596
223,kaoma,-14.7833,24.8,29.28,26,4,2.9,ZM,1715417104
224,port mathurin,-19.6833,63.4167,25.48,79,94,11.14,MU,1715416557
225,lodja,-3.4833,23.4333,25.26,78,100,1.35,CD,1715416440
226,okha,53.5739,142.9478,3.47,70,6,6.26,RU,1715417044
227,sakakah,29.9697,40.2064,35.76,10,0,6.42,SA,1715417104
228,arti,56.4234,58.5328,6.99,77,100,9.09,RU,1715417105
229,westport,41.1415,-73.3579,9.07,87,0,3.09,US,1715416617
230,raymondville,26.4815,-97.7831,26.64,93,6,2.4,US,1715417105
231,ponta delgada,37.7333,-25.6667,18.44,88,20,5.14,PT,1715417106
232,lycksele,64.5954,18.6735,8.93,40,45,2.06,SE,1715416580
233,suva,-18.1416,178.4415,23.71,69,40,4.12,FJ,1715417106
234,charters towers,-20.1,146.2667,22.82,61,67,5.21,AU,1715417107
235,kapuskasing,49.4169,-82.4331,9.05,57,100,2.57,CA,1715416634
236,krasnyy chikoy,50.3643,108.7512,16.92,26,23,4.73,RU,1715417107
237,khoyniki,51.8911,29.9552,10.79,66,97,5.17,BY,1715417108
238,kachug,53.9606,105.8817,22.25,21,47,2.68,RU,1715417108
239,carauari,-4.8828,-66.8958,22.82,98,92,1.05,BR,1715416435
240,ust-tsilma,65.441,52.1498,-1.33,89,35,2.24,RU,1715416647
241,hermanus,-34.4187,19.2345,17.11,57,35,2.36,ZA,1715416574
242,letlhakeng,-24.0944,25.0298,27.2,13,2,2.08,BW,1715417110
243,san luis de la loma,17.2706,-100.8939,24.13,72,86,0.87,MX,1715417050
244,kamaishi,39.2667,141.8833,16.93,79,64,5.59,JP,1715417110
245,iskateley,67.6803,53.1512,-3.32,88,99,3.13,RU,1715416594
246,kapa'a,22.0752,-159.319,25.99,89,40,3.6,US,1715416620
247,lebu,-37.6167,-73.65,8.44,86,88,3.04,CL,1715416560
248,petropavlovsk-kamchatsky,53.0452,158.6483,3.33,95,75,5.0,RU,1715416571
249,puerto deseado,-47.7503,-65.8938,3.04,78,95,4.72,AR,1715417069
250,beidaihehaibin,39.8222,119.5181,21.6,31,2,7.14,CN,1715417112
251,tyrnava,64.7647,25.6523,8.38,49,6,5.47,FI,1715417113
252,walvis bay,-22.9575,14.5053,19.53,63,0,1.54,NA,1715416550
253,tralee,52.2704,-9.7026,16.14,77,0,2.57,IE,1715416637
254,khandyga,62.6667,135.6,4.46,51,100,1.34,RU,1715416591
255,copala,16.65,-98.9833,24.18,66,98,0.51,MX,1715417114
256,as sulaymaniyah,35.5611,45.4375,24.24,44,0,3.09,IQ,1715417114
257,ivins,37.1686,-113.6794,14.62,50,80,2.87,US,1715417114
258,basoko,1.2391,23.616,31.83,53,90,1.39,CD,1715417115
259,sandnessjoen,66.0217,12.6316,10.23,50,75,7.2,NO,1715416564
260,nabire,-3.3667,135.4833,27.07,85,72,1.18,ID,1715416671
261,cidade velha,14.9167,-23.6167,23.26,73,40,6.17,CV,1715416647
262,burang,30.25,81.1667,10.0,50,66,4.14,CN,1715416592
263,lihue,21.9789,-159.3672,25.58,86,40,3.6,US,1715416565
264,sisimiut,66.9395,-53.6735,-3.8,82,31,2.67,GL,1715416572
265,invercargill,-46.4,168.35,8.9,96,60,2.24,NZ,1715416570
266,bodo,67.28,14.405,8.3,61,0,7.2,NO,1715416596
267,fort mcmurray,56.7268,-111.381,13.77,41,100,2.57,CA,1715417063
268,natal,-5.795,-35.2094,23.36,94,75,1.54,BR,1715417119
269,kalevala,65.2,31.1667,-1.06,91,100,5.81,RU,1715417119
270,grande prairie,55.1667,-118.8027,11.1,58,0,5.14,CA,1715417119
271,isangel,-19.55,169.2667,23.26,73,46,5.78,VU,1715417120
272,zaragoza,41.6561,-0.8773,24.45,35,0,2.57,ES,1715417120
273,port alfred,-33.5906,26.891,18.99,62,31,4.47,ZA,1715416924
274,heroica caborca,30.7167,-112.15,19.67,27,0,1.31,MX,1715417102
275,al kharijah,25.4514,30.5464,34.03,13,0,7.68,EG,1715417121
276,eyl,7.9803,49.8164,32.19,62,43,4.19,SO,1715416549
277,alice springs,-23.7,133.8833,20.75,37,0,6.17,AU,1715416548
278,laojunmiao,39.8333,97.7333,22.7,8,0,7.13,CN,1715417121
279,flying fish cove,-10.4217,105.6791,27.82,83,100,5.14,CX,1715416587
280,enewetak,11.3474,162.3373,27.46,76,100,7.22,MH,1715416587
281,alo,7.4178,6.7371,32.1,62,53,2.93,NG,1715416561
282,polyarnyy,69.1989,33.4478,0.41,91,100,5.85,RU,1715416668
283,vilyuchinsk,52.9306,158.4028,4.15,82,100,1.89,RU,1715416615
284,flin flon,54.7682,-101.865,8.73,85,58,2.48,CA,1715416560
285,tofol,5.3248,163.0078,27.84,76,100,1.01,FM,1715416643
286,muroto-misakicho,33.2833,134.15,20.06,75,100,3.89,JP,1715416954
287,chuncheon,37.8747,127.7342,17.97,87,99,4.25,KR,1715416937
288,dudinka,69.4058,86.1778,-4.62,82,100,4.47,RU,1715416608
289,siwa oasis,29.2041,25.5195,24.7,32,0,2.1,EG,1715417064
290,malya,-2.9833,33.5167,27.01,56,5,1.13,TZ,1715417124
291,nyurba,63.2842,118.3319,3.51,44,100,1.53,RU,1715416661
292,heathrow,28.7633,-81.3722,24.01,87,0,2.57,US,1715417124
293,trujillo,-8.116,-79.03,16.98,94,82,2.57,PE,1715417124
294,lamarque,-39.423,-65.7021,5.27,70,76,4.13,AR,1715417124
295,pressbaum,48.176,16.0477,19.91,55,75,1.79,AT,1715417125
296,berezovo,63.9381,65.0419,3.48,77,88,2.97,RU,1715417125
297,malango,-2.9627,119.9001,25.46,77,55,1.6,ID,1715417125
298,guerrero negro,27.9769,-114.0611,14.38,85,47,6.09,MX,1715416600
299,jaisalmer,26.9147,70.9181,39.3,20,0,5.03,IN,1715417125
300,belyy yar,53.6039,91.3903,23.94,41,0,1.0,RU,1715417126
301,ciudad del este,-25.5167,-54.6167,23.34,100,0,2.06,PY,1715417126
302,kauhajoki,62.4333,22.1833,10.06,40,4,3.13,FI,1715417126
303,goondiwindi,-28.55,150.3167,17.25,84,85,2.08,AU,1715417126
304,bangassou,4.7413,22.8184,36.03,34,41,2.0,CF,1715417127
305,binhe,32.6883,112.8275,27.93,27,79,4.2,CN,1715417127
306,sarakhs,36.5449,61.1577,23.95,32,0,1.65,IR,1715417127
307,beatrice,40.2681,-96.747,11.82,81,0,0.0,US,1715417127
308,philadelphia,39.9523,-75.1638,9.14,92,75,3.09,US,1715416957
309,greymouth,-42.4667,171.2,8.03,83,44,2.09,NZ,1715416510
310,winnemucca,40.973,-117.7357,13.03,38,0,3.6,US,1715417128
311,brisas de zicatela,15.8369,-97.0419,25.57,66,100,2.27,MX,1715417128
312,kristiansund,63.1115,7.732,9.03,93,100,2.06,NO,1715417128
313,kiunga,-6.1219,141.2906,24.8,97,88,0.87,PG,1715417128
314,punta alta,-38.8759,-62.0736,9.69,81,63,4.06,AR,1715417129
315,kailua-kona,19.6406,-155.9956,24.98,91,40,4.63,US,1715417129
316,kristinestad,62.2743,21.376,10.61,61,16,4.71,FI,1715417129
317,salekhard,66.53,66.6019,-2.56,89,50,0.89,RU,1715417129
318,illizi,26.4833,8.4667,25.89,13,1,3.83,DZ,1715416630
319,changuinola,9.4333,-82.5167,24.97,90,87,1.34,PA,1715417130
320,howrah,22.5892,88.3103,27.0,83,75,5.14,IN,1715417003
321,ambodifotatra,-16.9833,49.85,26.39,70,71,6.75,MG,1715417131
322,cananeia,-25.0147,-47.9267,21.47,93,70,1.41,BR,1715417131
323,dakhla,23.6848,-15.958,19.01,88,40,8.23,EH,1715416578
324,mikhaylovskoye,51.8239,79.7172,16.33,30,100,5.43,RU,1715417132
325,luderitz,-26.6481,15.1594,21.04,43,0,7.2,NA,1715416604
326,fort bragg,35.139,-79.006,14.0,70,0,2.57,US,1715416413
327,turriff,57.5384,-2.4593,21.29,65,51,2.46,GB,1715417132
328,nyala,12.05,24.8833,37.65,5,13,2.64,SD,1715417087
329,quellon,-43.1167,-73.6167,5.43,80,10,1.1,CL,1715416611
330,harstad,68.799,16.5293,6.66,82,100,8.94,NO,1715416612
331,xai-xai,-25.0519,33.6442,29.07,45,0,3.53,MZ,1715417133
332,vilyuysk,63.7553,121.6247,2.22,47,100,1.79,RU,1715417134
333,chela,34.069,104.4619,14.7,52,100,1.4,CN,1715417134
334,bubaque,11.2833,-15.8333,26.51,76,11,4.13,GW,1715416574
335,sao joao da barra,-21.6403,-41.0511,22.57,92,86,2.2,BR,1715416581
336,raduzhnyy,62.0961,77.475,3.97,90,93,3.22,RU,1715417135
337,pisco,-13.7,-76.2167,18.03,88,0,4.63,PE,1715416645
338,bayanhongor,46.7167,100.1167,17.84,11,47,4.39,MN,1715417135
339,myanaung,18.2833,95.3167,40.55,22,27,4.0,MM,1715417136
340,pasni,25.2631,63.471,30.02,55,0,10.91,PK,1715417136
341,namtsy,62.7161,129.6658,4.71,38,100,3.22,RU,1715417136
342,tutoia,-2.7619,-42.2744,24.61,90,96,1.53,BR,1715417136
343,maragogi,-9.0122,-35.2225,24.95,89,77,1.63,BR,1715417136
344,al wafrah,28.6392,47.9306,37.17,8,100,1.39,KW,1715417137
345,quelimane,-17.8786,36.8883,27.97,74,40,1.52,MZ,1715417137
346,qashyr,53.0675,76.1036,14.92,24,100,4.48,KZ,1715417137
347,bamboo flat,11.7,92.7167,34.05,62,40,4.63,IN,1715417137
348,guilin,25.2819,110.2864,29.06,78,63,2.23,CN,1715417138
349,mercedes,-34.6515,-59.4307,8.81,86,44,3.26,AR,1715417138
350,whitby,54.4877,-0.615,17.71,72,26,4.82,GB,1715417138
351,pacific grove,36.6177,-121.9166,13.99,86,6,0.45,US,1715416556
352,yeppoon,-23.1333,150.7333,21.88,84,0,3.96,AU,1715417139
353,zwedru,6.0667,-8.1281,27.72,81,79,1.45,LR,1715417139
354,mount gambier,-37.8333,140.7667,15.39,74,93,1.42,AU,1715416563
355,ribadesella,43.4614,-5.0596,19.41,85,100,1.99,ES,1715417139
356,ermenek,36.6404,32.8918,13.73,61,64,4.79,TR,1715417139
357,patong,7.8961,98.2966,33.08,75,100,4.33,TH,1715417140
358,harnosand,62.6323,17.9379,11.0,50,23,1.88,SE,1715417140
359,antonio enes,-16.2325,39.9086,29.78,52,20,3.09,MZ,1715416648
360,havelock,34.8791,-76.9013,14.0,86,40,5.66,US,1715416915
361,inarajan village,13.2736,144.7484,29.54,87,38,6.49,GU,1715417078
362,ulsteinvik,62.3432,5.8487,13.28,78,100,3.13,NO,1715416611
363,lunsar,8.6833,-12.5333,26.76,89,97,0.18,SL,1715417141
364,katsuren-haebaru,26.3369,127.8719,26.43,67,40,3.09,JP,1715416614
